par_pctile,count
0,34478
1,34781
2,35734
3,37095
4,38072
5,38851
6,39420
7,40276
8,40557
9,41189
10,42190
11,42576
12,43143
13,43752
14,44325
15,44862
16,45443
17,45639
18,46859
19,47151
20,47512
21,48385
22,49089
23,49759
24,50508
25,51034
26,51778
27,51713
28,52650
29,53419
30,53778
31,54356
32,55079
33,55851
34,56426
35,56684
36,57519
37,58508
38,58731
39,59415
40,60128
41,60306
42,60606
43,61402
44,62029
45,62713
46,63180
47,63371
48,64072
49,64758
50,65179
51,65683
52,66424
53,66955
54,67735
55,68136
56,68772
57,69232
58,69932
59,70717
60,71216
61,71955
62,72472
63,73251
64,74092
65,74623
66,75283
67,75962
68,76743
69,77625
70,78500
71,79182
72,80011
73,80632
74,81446
75,82196
76,83139
77,83884
78,85031
79,85887
80,86524
81,87311
82,88057
83,88977
84,89811
85,90591
86,91606
87,92410
88,93178
89,94353
90,95294
91,96060
92,96702
93,97546
94,98501
95,98899
96,99531
97,100185
98,101003
99,101657
