par_pctile,tier,tier_name,par_mean,k_mean,k_rank,k_top1pc,k_top5pc,k_top10pc,k_q5,k_q4,k_q3,k_q2,k_q1,k_nowork,married,k_median,k_median_nozero,count,tot_count,density
0,1,Ivy Plus,1500,198900,.6978631324432562,.15555556,.3037037,.37037036,.54814816,.11851852,.14074074,.06666667,.12592593,.11851852,.45925927,61300,68000,135,52724,.0025605038
0,2,Other elite schools (public and private),1600,70300,.6594622465931186,.071100913,.21100917,.30733943,.50688076,.13073394,.11238532,.10321101,.146789,.13761468,.46559632,56400,62400,436,183973,.002369913
0,3,Highly selective public,1700,55500,.6238404666538749,.031319909,.14653245,.22930649,.38031319,.22706935,.12863535,.12639821,.1375839,.13199104,.43176734,43700,50400,894,393548,.0022716415
0,4,Highly selective private,1600,54000,.5926307843968924,.043307085,.16141732,.25984251,.38582677,.1456693,.13779527,.1456693,.18503937,.18110237,.42519686,41200,50900,254,134098,.0018941371
0,5,Selective public,1800,37500,.5367838940353047,.0069455407,.049881607,.1082873,.2273086,.23172849,.19715863,.18374112,.16006315,.14632991,.42241517,32000,37600,6335,1944082,.0032586074
0,6,Selective private,1800,42800,.5556441657902221,.014955812,.077498302,.14140041,.27464309,.21278042,.18490823,.17063223,.15703602,.14615907,.48946294,33200,39700,1471,486852,.0030214521
0,7,Nonselective four-year public,1900,28200,.4597004441066321,.0047586677,.021753909,.053025153,.12372535,.19646499,.23657376,.25288919,.1903467,.1753909,.35622028,22400,28700,1471,257854,.0057047787
0,8,Nonselective four-year private not-for-profit,1800,24700,.4202462587718486,.0035460994,.017730497,.05319149,.12411348,.11702128,.23049645,.29432625,.23404256,.21631205,.33687943,16700,23400,282,55947,.0050404849
0,9,Two-year (public and private not-for-profit),1800,25500,.4377993560688626,.0024925224,.016367564,.042455964,.11091725,.17156862,.23903289,.26404122,.21444002,.19449984,.32984379,19900,26600,12036,2021451,.0059541389
0,10,Four-year for-profit,1700,26100,.4490640268272269,.00093023258,.016744185,.046511628,.12279069,.17209302,.24744186,.26883721,.18883722,.16651163,.26511627,20400,25400,1075,126025,.0085300533
0,11,Two-year for-profit,1700,27300,.4650656687726157,.0027855153,.0083565461,.041782729,.12813371,.2005571,.25626743,.22841226,.18662952,.16155989,.29805014,23700,28800,359,42313,.0084843906
0,12,Less than two-year schools of any type,1900,16300,.3417715181834619,0,0,.012195121,.048780486,.048780486,.24390243,.40243903,.25609756,.24390244,.24390243,14000,18900,82,10121,.0081019662
